Anio,EntidadFederativa,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres
2010,Michoacán de Ocampo,4351037,2102109,2248928
2010,Morelos,1777227,858588,918639
2010,Nayarit,1084979,541007,543972
2010,Nuevo León,4653458,2320185,2333273
2010,Oaxaca,3801962,1819008,1982954
2010,Puebla,5779829,2769855,3009974
2010,Querétaro,1827937,887188,940749
2010,Quintana Roo,1325578,673220,652358
2010,San Luis Potosí,2585518,1260366,1325152
2010,Sinaloa,2767761,1376201,1391560
2010,Sonora,2662480,1339612,1322868
2010,Tabasco,2238603,1100758,1137845
2010,Tamaulipas,3268554,1616201,1652353
2010,Tlaxcala,1169936,565775,604161
2010,Veracruz de Ignacio de la Llave,7643194,3695679,3947515
2010,Yucatán,1955577,963333,992244
2010,Zacatecas,1490668,726897,763771
2015,Aguascalientes,1312544,640091,672453
2015,Baja California,3315766,1650341,1665425
2015,Baja California Sur,712029,359137,352892
2015,Campeche,899931,441276,458655
2015,Chiapas,5217908,2536721,2681187
2015,Chihuahua,3556574,1752275,1804299
2015,Ciudad de México,8918653,4231650,4687003
2015,Coahuila de Zaragoza,2954915,1462612,1492303
2015,Colima,711235,350791,360444
2015,Durango,1754754,860382,894372
2015,Estados Unidos Mexicanos,119530753,58056133,61474620
2015,Guanajuato,5853677,2826369,3027308
2015,Guerrero,3533251,1699059,1834192
2015,Hidalgo,2858359,1369025,1489334
2015,Jalisco,7844830,3835069,4009761
2015,México,16187608,7834068,8353540
2015,Michoacán de Ocampo,4584471,2209747,2374724
2015,Morelos,1903811,914906,988905
2015,Nayarit,1181050,586000,595050
2015,Nuevo León,5119504,2541857,2577647
2015,Oaxaca,3967889,1888678,2079211
2015,Puebla,6168883,2943677,3225206
2015,Querétaro,2038372,993436,1044936
2015,Quintana Roo,1501562,751538,750024
2015,San Luis Potosí,2717820,1317525,1400295
2015,Sinaloa,2966321,1464085,1502236
2015,Sonora,2850330,1410419,1439911
2015,Tabasco,2395272,1171592,1223680
2015,Tamaulipas,3441698,1692186,1749512
2015,Tlaxcala,1272847,614565,658282
2015,Veracruz de Ignacio de la Llave,8112505,3909140,4203365
2015,Yucatán,2097175,1027548,1069627
2015,Zacatecas,1579209,770368,808841
2020,Aguascalientes,1425607,696683,728924
2020,Baja California,3769020,1900589,1868431
2020,Baja California Sur,798447,405879,392568
2020,Campeche,928363,456939,471424
2020,Chiapas,5543828,2705947,2837881
2020,Chihuahua,3741869,1853822,1888047
2020,Ciudad de México,9209944,4404927,4805017
2020,Coahuila de Zaragoza,3146771,1563669,1583102
2020,Colima,731391,360622,370769
2020,Durango,1832650,904866,927784
2020,Estados Unidos Mexicanos,126014024,61473390,64540634
2020,Guanajuato,6166934,2996454,3170480
2020,Guerrero,3540685,1700612,1840073
2020,Hidalgo,3082841,1481379,1601462
2020,Jalisco,8348151,4098455,4249696
2020,México,16992418,8251295,8741123
2020,Michoacán de Ocampo,4748846,2306341,2442505
2020,Morelos,1971520,950847,1020673
2020,Nayarit,1235456,612278,623178
2020,Nuevo León,5784442,2890950,2893492
2020,Oaxaca,4132148,1974843,2157305
2020,Puebla,6583278,3160115,3423163
2020,Querétaro,2368467,1156820,1211647
2020,Quintana Roo,1857985,936779,921206
2020,San Luis Potosí,2822255,1372451,1449804
2020,Sinaloa,3026943,1494815,1532128
2020,Sonora,2944840,1472197,1472643
2020,Tabasco,2402598,1173671,1228927
2020,Tamaulipas,3527735,1736140,1791595
2020,Tlaxcala,1342977,649894,693083
2020,Veracruz de Ignacio de la Llave,8062579,3871774,4190805
2020,Yucatán,2320898,1140279,1180619
2020,Zacatecas,1622138,791058,831080
